,qus,ans
7110,Who was the director of Century?,Stephen Poliakoff
7111,Who was the director of Young People?,Luis Alcoriza
7112,Who was the director of Equilibrium?,Kurt Wimmer
7113,Who was the director of Pilot?,David Nutter
7114,Who was the director of Flight?,Frank Capra
7115,Who was the director of Monster?,Patty Jenkins
7116,Who was the director of Under the Sun?,Colin Nutley
7117,Who was the director of Accident?,Ramesh Aravind
7118,Who was the director of The Matrix?,The Wachowskis
7119,Who was the director of The Second Coming?,Allan Arkush
7120,Who was the director of Crave?,Charles de Lauzirika
7121,Who was the director of The Trial?,Orson Welles
7122,Who was the director of The Baby?,Ted Post
7123,Who was the director of The Spider?,Maurice Elvey
7124,Who was the director of Wait and See?,Walter Forde
7125,Who was the director of Careers?,John Francis Dillon
7126,Who was the director of A Place to Go?,Basil Dearden
7127,Who was the director of The Kiss?,Dell Henderson
7128,Who was the director of Indizienbeweis?,Georg Jacoby
7129,Who was the director of The City?,Willard Van Dyke
7130,Who was the director of News Night 2.0?,Alex Graves
7131,Who was the director of The Alliance?,Bryan Gordon
7132,Who was the director of Thanks for Sharing?,Stuart Blumberg
7133,Who was the director of Pump?,Josh Tickell
7134,Who was the director of Sugar?,Anna Boden
7135,Who was the director of The Love Letter?,Dan Curtis
7136,Who was the director of The Vineyard?,James Hong
7137,Who was the director of Up in the Air?,Jason Reitman
7138,Who was the director of The Rebel?,Curtis Bernhardt
7139,Who was the director of The Quiet?,Jamie Babbit
7140,Who was the director of Ghost?,Jerry Zucker
7141,Who was the director of Marie?,Roger Donaldson
7142,Who was the director of Back to You?,James Burrows
7143,Who was the director of Finale?,Ken Kwapis
7144,Who was the director of Circuit?,Dirk Shafer
7145,Who was the director of The Rookie?,Clint Eastwood
7146,Who was the director of Rebellion?,Mathieu Kassovitz
7147,Who was the director of Trio?,Ken Annakin
7148,Who was the director of Destiny?,Reginald Le Borg
7149,Who was the director of Providence?,Chris Carter
7150,Who was the director of Saturday Night Live?,Beth McCarthy-Miller
7151,Who was the director of Five?,Arch Oboler
7152,Who was the director of These Three?,William Wyler
7153,Who was the director of Out of the Blue?,Leigh Jason
7154,Who was the director of Vikramadithyan?,Lal Jose
7155,Who was the director of The Eternal?,Michael Almereyda
7156,Who was the director of Elizabeth?,Shekhar Kapur
7157,Who was the director of Career?,Joseph Anthony
7158,Who was the director of The Long Memory?,Robert Hamer
7159,Who was the director of Small Time?,Shane Meadows
7160,Who was the director of The Return?,Paul A. Edwards
7161,Who was the director of Beneath?,Larry Fessenden
7162,Who was the director of Unfriended?,Levan Gabriadze
7163,Who was the director of The Mask?,Chuck Russell
7164,Who was the director of The Ring?,Kurt Neumann
7165,Who was the director of Barabbas?,Roger Young
7166,Who was the director of The White Line?,Luigi Zampa
7167,Who was the director of The President?,Mohsen Makhmalbaf
7168,Who was the director of Pride?,Matthew Warchus
7169,Who was the director of Glass?,Chris Kennedy
7170,Who was the director of Outbreak?,Wolfgang Petersen
7171,Who was the director of The Constant?,Jack Bender
7172,Who was the director of Bullet?,Julien Temple
7173,Who was the director of Changes?,Charles Jarrott
7174,Who was the director of The City?,Roy William Neill
7175,Who was the director of Crude?,Joe Berlinger
7176,Who was the director of Cousins?,Joel Schumacher
7177,Who was the director of The Conscience of the King?,Gerd Oswald
7178,Who was the director of Pi?,Darren Aronofsky
7179,Who was the director of The Beyond?,Lucio Fulci
7180,Who was the director of Anna Christie?,Jacques Feyder
7181,Who was the director of Ryan?,Chris Landreth
7182,Who was the director of Holiday?,George Cukor
7183,Who was the director of Mother?,Albert Brooks
7184,Who was the director of Go Now?,Michael Winterbottom
7185,Who was the director of North of Hudson Bay?,John Ford
7186,Who was the director of Blade?,Stephen Norrington
7187,Who was the director of Accident?,Sergiu Nicolaescu
7188,Who was the director of Under Heavy Fire?,Sidney J. Furie
7189,Who was the director of Chance?,Amber Benson
7190,Who was the director of Zookeeper?,Frank Coraci
7191,Who was the director of Vacation?,John Francis Daley
7192,Who was the director of Daddy?,Mahesh Bhatt
7193,Who was the director of Mother?,Saawan Kumar Tak
7194,Who was the director of Fists in the Pocket?,Marco Bellocchio
7195,Who was the director of All About the Benjamins?,Kevin Bray
7196,Who was the director of Extract?,Mike Judge
7197,Who was the director of The Brat?,John Ford
7198,Who was the director of Experience?,George Fitzmaurice
7199,Who was the director of My Own Private Idaho?,Gus Van Sant
7200,Who was the director of Dear Diary?,David Frankel
7201,Who was the director of Suzanne?,Robin Spry
7202,Who was the director of On Tour?,Gabriele Salvatores
7203,Who was the director of Some Like It Hot?,George Archainbaud
7204,Who was the director of The Hook?,George Seaton
7205,Who was the director of Three Men and a Baby?,Leonard Nimoy
7206,Who was the director of Rosa?,Joe Cheung
7207,Who was the director of Defiance?,Edward Zwick
7208,Who was the director of Victory?,Mark Peploe
7209,Who was the director of Mother?,Kazuo Umezu
7210,Who was the director of Turbo: A Power Rangers Movie?,David Winning
7211,Who was the director of Forget Paris?,Billy Crystal
7212,Who was the director of Fingers?,Herbert Mason
7213,Who was the director of False Light?,Theo van Gogh
7214,Who was the director of Mane?,Girish Kasaravalli
7215,Who was the director of Time?,Kim Ki-duk
7216,Who was the director of Robosapien: Rebooted?,Sean McNamara
7217,Who was the director of The Gift?,Kim Manners
7218,Who was the director of The Girl in Mourning?,Manuel Summers Rivero
7219,Who was the director of Last Days?,Gus Van Sant
7220,Who was the director of La Notte?,Michelangelo Antonioni
7221,Who was the director of Swamp Woman?,Elmer Clifton
7222,Who was the director of Cannibal Tours?,Dennis O'Rourke
7223,Who was the director of Mother?,Bong Joon-ho
7224,Who was the director of Grandmother?,Idrissa Ouédraogo
7225,Who was the director of After Hours?,Martin Scorsese
7226,Who was the director of Ned?,Abe Forsythe
7227,Who was the director of The Connection?,Shirley Clarke
7228,Who was the director of Enough?,Michael Apted
7229,Who was the director of Conviction?,Tony Goldwyn
7230,Who was the director of The Dog?,Todd Field
7231,Who was the director of The Ruff & Reddy Show?,Joseph Barbera
7232,Who was the director of Scooby-Doo?,Raja Gosnell
7233,Who was the director of Falling Down?,Joel Schumacher
7234,Who was the director of The Other Half?,King Vidor
7235,Who was the director of Va?,Pushkar-Gayathri
7236,Who was the director of The Sting?,George Roy Hill
7237,Who was the director of Make a Wish?,Kurt Neumann
7238,Who was the director of Love Story?,Mario Camerini
7239,Who was the director of The Mirror?,Anthony O'Sullivan
7240,Who was the director of Liam?,Stephen Frears
7241,Who was the director of My Man?,Kazuyoshi Kumakiri
7242,Who was the director of Johnny?,Mahendran
7243,Who was the director of First Love?,Tetsuo Shinohara
7244,Who was the director of The Catalyst?,Joseph Hahn
7245,Who was the director of Becoming?,Joss Whedon
7246,Who was the director of The Visit?,Bernhard Wicki
7247,Who was the director of Lizards?,Allan Arkush
7248,Who was the director of M?,Lee Myeong-se
7249,Who was the director of Cut?,Kimble Rendall
7250,Who was the director of Reds?,Warren Beatty
7251,Who was the director of Sam?,Larry Buchanan
7252,Who was the director of Old School?,Todd Phillips
7253,Who was the director of Target?,Sandip Ray
7254,Who was the director of Georgia?,Ben Lewin
7255,Who was the director of Inflatable Sex Doll of the Wastelands?,Atsushi Yamatoya
7256,Who was the director of Witness?,Peter Weir
7257,Who was the director of So Can I?,Abbas Kiarostami
7258,Who was the director of Contract?,Ram Gopal Varma
7259,Who was the director of Two?,Werner Schroeter
7260,Who was the director of Secrets?,Frank Borzage
7261,Who was the director of The Pocket-knife?,Ben Sombogaart
7262,Who was the director of Cell Phone?,Feng Xiaogang
7263,Who was the director of Glory?,Edward Zwick
7264,Who was the director of Manhattan?,Dean White
7265,Who was the director of Lan?,Jiang Wenli
7266,Who was the director of Crisis?,Ingmar Bergman
7267,Who was the director of Burning Man?,Jonathan Teplitzky
7268,Who was the director of Shades of Gray?,Rob Bowman
7269,Who was the director of Sunny?,Lee Joon-ik
7270,Who was the director of Tested?,Paul McCrane
7271,Who was the director of Tears?,Im Sang-soo
7272,Who was the director of Visitors?,Godfrey Reggio
7273,Who was the director of The Husband?,Bruce McDonald
7274,Who was the director of La spiaggia?,Alberto Lattuada
7275,Who was the director of The Alternate?,Sam Firstenberg
7276,Who was the director of Tamanna?,Phani Majumdar
7277,Who was the director of Nine?,Rob Marshall
7278,Who was the director of Come Undone?,Silvio Soldini
7279,Who was the director of O Sangue?,Pedro Costa
7280,Who was the director of Imagine?,Yoko Ono
7281,Who was the director of September?,Tian Zhuangzhuang
7282,Who was the director of Lost?,Al Adamson
7283,Who was the director of The Squeeze?,Michael Apted
7284,Who was the director of Heaven over the Marshes?,Augusto Genina
7285,Who was the director of Reducing?,Charles Reisner
7286,Who was the director of The Return?,Antun Vrdoljak
7287,Who was the director of Cat People?,Jacques Tourneur
7288,Who was the director of Mr. Bug Goes to Town?,Dave Fleischer
7289,Who was the director of The Spoilers?,Lambert Hillyer
7290,Who was the director of Beautiful Ohio?,Chad Lowe
7291,Who was the director of The Actors?,Conor McPherson
7292,Who was the director of Il Boss?,Fernando Di Leo
7293,Who was the director of Five Days?,Montgomery Tully
7294,Who was the director of The Dead?,John Huston
7295,Who was the director of Premi?,Rabi Kinagi
7296,Who was the director of Turning the Tables?,Elmer Clifton
7297,Who was the director of Gone?,James Whitmore Jr.
7298,Who was the director of Overnight Delivery?,Jason Bloom
7299,Who was the director of Mata?,Guruprasad
7300,Who was the director of Nazrana?,Ravi Tandon
7301,Who was the director of 100?,Paris Barclay
7302,Who was the director of Train d'enfer?,Gilles Grangier
7303,Who was the director of Vanity?,Adrian Brunel
7304,Who was the director of Cuadrilátero?,Eloy de la Iglesia
7305,Who was the director of Arthur?,Steve Gordon
7306,Who was the director of The Wild?,Steve Williams
7307,Who was the director of The Patriots?,Boris Barnet
7308,Who was the director of Early Spring?,Astrid Henning-Jensen
7309,Who was the director of Free and Easy?,George Sidney
7310,Who was the director of My Last Day?,Barry Cook
7311,Who was the director of Election?,Om Prakash Rao
7312,Who was the director of Run?,Tom Verica
7313,Who was the director of Cake?,Sean McNamara
7314,Who was the director of Revenge of the Green Dragons?,Andrew Lau
7315,Who was the director of Detective?,Carlos Schlieper
7316,Who was the director of Mypods and Boomsticks?,Steven Dean Moore
7317,Who was the director of Gada Meilin?,Feng Xiaoning
7318,Who was the director of Masks?,Rudolf Meinert
7319,Who was the director of Balance of Terror?,Vincent McEveety
7320,Who was the director of Results?,Andrew Bujalski
7321,Who was the director of Loud as a Whisper?,Larry Shaw
7322,Who was the director of Beloved?,Jonathan Demme
7323,Who was the director of Wrong?,Mr. Oizo
7324,Who was the director of Ghost?,Hossein Shahabi
7325,Who was the director of The Houseguest and My Mother?,Shin Sang-ok
7326,Who was the director of La gorilla?,Romolo Guerrieri
7327,Who was the director of Charlotte?,Frans Weisz
7328,Who was the director of Guess Who?,Kevin Rodney Sullivan
7329,Who was the director of The Challenge?,John Frankenheimer
7330,Who was the director of I Want You?,Michael Winterbottom
7331,Who was the director of The Tough?,Salah Abu Seif
7332,Who was the director of Cube?,Vincenzo Natali
7333,Who was the director of Auditions?,Harry Hurwitz
7334,Who was the director of One of Those?,Aldo Fabrizi
7335,Who was the director of Che?,Ebrahim Hatamikia
7336,Who was the director of Go Further?,Ron Mann
7337,Who was the director of Second Chances?,LeVar Burton
7338,Who was the director of Fall?,Eric Schaeffer
7339,Who was the director of The Unbelievable Truth?,Hal Hartley
7340,Who was the director of Revelation?,Stuart Urban
7341,Who was the director of The Key?,Antun Vrdoljak
7342,Who was the director of The Stranger?,Robert Lieberman
7343,"Who was the director of Remember Me, My Love?",Gabriele Muccino
7344,Who was the director of What Happened Was?,Tom Noonan
7345,Who was the director of Amal?,Richie Mehta
7346,Who was the director of Technological Threat?,Bill Kroyer
7347,Who was the director of Graft?,Christy Cabanne
7348,Who was the director of Nurse?,Thikkurissy Sukumaran Nair
7349,Who was the director of Legend?,Boyapati Srinu
7350,Who was the director of Holiday?,Pooja Bhatt
7351,Who was the director of The Man with the Twisted Lip?,Maurice Elvey
7352,Who was the director of Angel?,Ganesh Acharya
7353,Who was the director of Are You Here?,Matthew Weiner
7354,Who was the director of Country Life?,Michael Blakemore
7355,Who was the director of Trust?,David Schwimmer
7356,Who was the director of Desire?,Colleen Murphy
